จังหวัด,เขต,พรรค,ผู้ชนะ,คะแนน,คะแนนบัญชีรายชื่อ,ผู้มีสิทธิ,มาใช้สิทธิ,คะแนนดี
อุดรธานี,6,ภูมิใจไทย,อดิศักดิ์ แก้วมุงคุณทรัพย์,"36,722","14,088","126,400",80892,77405
อุดรธานี,6,กล้าธรรม,ธนอนันต์ เมนะสวัสดิ์,"15,176","3,476",,,
อุดรธานี,6,เพื่อไทย,ประชาชาติ แสนแก้ว,"12,386","21,021",,,
อุดรธานี,6,ประชาชน,สรวิชญ์ นาแพงสอน,"10,595","17,891",,,
อุดรธานี,6,เศรษฐกิจ,ประกาศิต ปัญญาใส,"1,487","3,426",,,
อุดรธานี,6,รวมไทยสร้างชาติ,บรรพต จิกจักร์,487,880,,,
อุดรธานี,6,ประชาธิปัตย์,มลิวรรณ แก้วสุข,341,"1,504",,,
อุดรธานี,6,เพื่อบ้านเมือง,สุริวรรณ คล้ายเพชร,147,29,,,
อุดรธานี,6,ประชากรไทย,ธนพล คำศรี,64,201,,,
